"A_11PM","A_3AM","A_7AM","A_11AM","A_3PM","A_7PM","B_11PM","B_3AM","B_7AM","B_11AM","B_3PM","B_7PM","GeneSymbol"
"2.18434e+00","2.55713e+00","4.44390e+00","2.96277e+00","2.96157e+00","2.39715e+00","2.31981e+00","4.38094e+00","2.70469e+00","3.00906e+00","2.88509e+00","2.47604e+00","zgc:123172"
"2.91444e+01","4.19590e+01","1.13054e+02","9.29414e+01","4.47041e+01","4.47107e+01","2.08688e+01","2.10388e+01","7.69568e+01","1.25514e+02","8.19304e+01","3.24010e+01","sh3gl2"
"4.61181e+00","2.82216e+00","1.60033e+00","8.15417e-01","9.26330e-01","2.01627e+00","1.55091e+00","1.22771e+00","2.36458e+00","1.21195e+00","1.17680e+00","1.38948e+00","Snapc3"
"1.77502e+00","3.74791e+00","2.00321e+00","4.67482e+00","4.00007e+00","3.59358e+00","7.06120e-01","5.44947e+00","2.12378e+00","3.43263e+00","1.87326e+00","2.93818e+00","ednrb1"
"1.00028e+01","9.50303e+00","9.57790e+00","6.75352e+00","8.68772e+00","9.25252e+00","8.09424e+00","7.66907e+00","7.76951e+00","8.68097e+00","9.42261e+00","8.75684e+00","zgc:172295"
"1.27236e+01","9.70294e+00","1.03924e+01","9.74545e+00","1.07336e+01","7.90370e+00","1.12402e+01","1.13987e+01","1.42188e+01","1.04451e+01","9.02821e+00","9.98081e+00","zgc:110196"
"7.22782e+00","5.50144e+00","6.42842e+00","4.54530e+00","5.09514e+00","5.06340e+00","7.33002e+00","4.61205e+00","4.12667e+00","5.23513e+00","5.68239e+00","4.43955e+00","zgc:123318"
"5.36282e+00","7.16861e+00","9.23334e+00","8.46638e+00","7.14148e+00","6.44979e+00","5.34739e+00","6.61220e+00","6.72521e+00","6.92555e+00","7.69889e+00","5.62335e+00","Pwp2h"
"1.04515e+02","8.14483e+01","6.68074e+01","3.90640e+01","5.99090e+01","1.05228e+02","8.89961e+01","7.39758e+01","6.97731e+01","4.42619e+01","7.80577e+01","9.06933e+01","gpm6ba"
"6.90543e+00","7.07268e+00","4.47911e+00","6.16673e+00","4.63907e+00","6.35526e+00","6.86943e+00","4.93304e+00","6.19167e+00","4.29389e+00","4.07130e+00","4.16421e+00","zgc:92177"
"4.32479e-01","8.51850e-01","1.81012e+00","6.91936e-01","9.62039e-01","1.42354e+00","1.01071e+00","8.25182e-01","5.09807e-01","1.07256e+00","1.28101e+00","2.02900e+00","si:dkey-1h24.2"
"2.36206e+00","3.71445e+00","1.89492e+00","4.02486e+00","3.95582e+00","2.58401e+00","5.52800e+00","2.35721e+00","1.97400e+00","3.10573e-01","2.10903e+00","2.29007e+00","si:dkey-1h24.3"
"1.10681e+01","1.04918e+01","1.07043e+01","1.00410e+01","1.04031e+01","8.82882e+00","1.16666e+01","1.09986e+01","1.08184e+01","1.16357e+01","1.21465e+01","1.04262e+01","alg11"
"2.57541e+00","1.91865e+00","2.43906e+00","2.49034e+00","2.48923e+00","3.63107e+00","1.82545e+00","3.21532e+00","3.42864e+00","3.35267e+00","3.21635e+00","2.64520e+00","zgc:153256"
"5.09561e+00","6.99444e+00","5.08866e+00","5.24058e+00","6.46225e+00","9.68325e+00","6.83392e+00","8.96814e+00","9.05832e+00","8.25904e+00","7.07284e+00","8.83668e+00","si:dkey-22o12.2"
"6.45934e+00","5.14471e+00","8.88245e+00","1.23506e+01","6.53951e+00","8.94500e+00","6.81731e+00","9.00410e+00","8.42230e+00","7.99797e+00","9.91539e+00","7.16965e+00","LOC557028"
"4.48526e+00","4.85460e+00","8.13592e+00","5.15561e+00","6.78831e+00","5.02426e+00","4.63491e+00","4.64705e+00","5.16569e+00","5.33734e+00","5.33326e+00","1.09084e+01","zgc:158645"
"8.21927e+00","5.53046e+00","9.34294e+00","4.57749e+00","1.01266e+01","7.90067e+00","6.21642e+00","5.08226e+00","1.09032e+01","3.28042e+00","4.66976e+00","3.87874e+00","dachc"
"5.58224e+00","1.20883e+01","9.91139e+00","6.75060e+00","8.48845e+00","7.82972e+00","9.31126e+00","8.94519e+00","1.10142e+01","9.88294e+00","9.13486e+00","8.80250e+00","zgc:101616"
"2.70043e-01","4.98738e-01","4.00550e-01","1.82612e-01","2.67439e-02","0.00000e+00","0.00000e+00","2.08193e-01","1.67415e-01","2.22148e-01","4.64164e-01","0.00000e+00","dlx2b"
"0.00000e+00","0.00000e+00","3.15331e-01","0.00000e+00","2.72968e-02","0.00000e+00","0.00000e+00","1.39211e-01","0.00000e+00","0.00000e+00","2.38559e-01","3.01675e-01","lbx1a"
"3.68845e+00","2.98852e+00","2.64558e+00","3.72200e+00","3.78058e+00","2.55671e+00","3.27297e+00","3.13271e+00","3.51323e+00","1.52053e+00","2.64302e+00","2.41068e+00","DPCD"
"5.72434e+01","5.39382e+01","5.39216e+01","2.47592e+01","3.14576e+01","3.21083e+01","4.28812e+01","5.15337e+01","8.78572e+01","3.38166e+01","3.25564e+01","3.02008e+01","nt5c2b"
"4.31981e+00","4.08854e+00","4.24695e+00","4.96249e+00","4.80131e+00","4.51513e+00","6.86162e+00","5.79718e+00","7.02168e+00","6.02623e+00","5.66944e+00","6.71481e+00","PNPLA4"
"1.43783e-01","0.00000e+00","8.92846e-02","1.86860e-01","2.15739e-01","5.82698e-02","0.00000e+00","6.36011e-02","0.00000e+00","7.08017e-02","1.39673e-01","2.34640e-01","gyg2"
"3.36932e+01","2.67226e+01","4.78558e+01","5.65571e+01","3.21083e+01","4.98716e+01","2.03387e+01","2.60292e+01","3.02292e+01","2.56143e+01","3.54536e+01","3.04307e+01","CD99"
"6.37821e+00","7.29853e+00","6.95982e+00","5.88876e+00","6.50780e+00","9.67889e+00","8.42313e+00","5.44939e+00","8.45348e+00","5.98809e+00","7.41265e+00","5.88136e+00","CREB1"
"0.00000e+00","0.00000e+00","0.00000e+00","0.00000e+00","2.06371e-01","1.43201e-01","0.00000e+00","0.00000e+00","0.00000e+00","0.00000e+00","3.52276e-01","0.00000e+00","cldng"
"1.46731e-01","1.27365e-01","3.78125e-01","3.88761e-01","1.02212e-01","4.43933e-01","1.60684e-02","1.42690e-01","2.25860e-01","2.57283e-01","2.49177e-01","1.02477e-01","lmo7b"
"8.94459e-01","1.25188e+00","1.32705e+00","1.25080e+00","1.30108e+00","1.28036e+00","6.20011e-01","1.11423e+00","6.54331e-01","1.63393e+00","1.21660e+00","1.23576e+00","pibf1"
"1.04733e+01","9.67731e+00","8.95378e+00","9.73553e+00","1.09586e+01","1.39444e+01","1.06907e+01","1.06688e+01","1.14623e+01","9.51761e+00","1.14925e+01","1.08300e+01","MGC174761"
"7.14204e+02","5.84391e+02","6.18223e+02","7.20210e+02","6.08345e+02","5.60349e+02","5.07816e+02","6.03861e+02","6.04687e+02","5.84477e+02","4.94285e+02","4.72620e+02","TPT1"
"1.52849e+00","3.34730e+00","2.20224e+00","2.74986e+00","2.68674e+00","3.11012e+00","3.27985e+00","3.95154e+00","3.21107e+00","4.38189e+00","3.92974e+00","3.10046e+00","LOC100002334"
"4.43420e-01","4.35208e-01","2.75825e-01","1.58832e-01","1.12851e-01","1.56524e-01","4.27047e-01","2.77463e-01","1.11039e-01","1.76045e-01","2.16583e-01","1.54439e-01","Frem3"
"1.39705e+01","2.22117e+01","1.54950e+01","9.33858e+00","1.01605e+01","1.04975e+01","1.58909e+01","1.97455e+01","2.10162e+01","9.29837e+00","1.14680e+01","1.15513e+01","SMAD1"
"7.56624e-01","1.69048e+00","1.58083e+00","1.74102e+00","1.58090e+00","1.22251e+00","1.71452e+00","1.15143e+00","1.99441e+00","1.38136e+00","1.56856e+00","1.46680e+00","PRMT10"
